Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.6-beta-266.jar                       | flywheel                                                | flywheel.impl.mixins.json, flywheel.impl.forge.mixins.json, flywheel.backend.mixins.json
embeddium-0.3.31+mc1.20.1.jar                                                       | embeddium                                               | embeddium.mixins.json
emi-1.1.22+1.20.1+forge.jar                                                         | emi                                                     | emi-forge.mixins.json, emi.mixins.json
emi_create_schematics-1.0.4.jar                                                     | emi_create_schematics                                   | emi_create_schematics.mixins.json
emi_enchanting-0.1.2+1.20.1+forge.jar                                               | emi_enchanting                                          | 
emi_loot-0.7.6+1.20.1+forge.jar                                                     | emi_loot                                                | emi_loot.mixins.json
emi_ores-1.2+1.20.1+forge.jar                                                       | emi_ores                                                | emi_ores.mixins.json
emitrades-forge-1.2.1+mc1.20.1.jar                                                  | emitrades                                               | 
    /META-INF/jars/json-0.2.1.jar                                                   |                                                         | 
EnderIO-1.20.1-6.2.18-beta-all.jar                                                  | enderio                                                 | mixins.enderio.json, mixins.enderio-machines.json, mixins.enderio-machines.refmap.json, mixins.enderio.refmap.json
    /META-INF/jarjar/GraphLib3-3.0.7.jar                                            |                                                         | 
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                                         | 
    /META-INF/jarjar/checker-qual-3.33.0.jar                                        |                                                         | 
    /META-INF/jarjar/error_prone_annotations-2.18.0.jar                             |                                                         | 
    /META-INF/jarjar/failureaccess-1.0.1.jar                                        |                                                         | 
    /META-INF/jarjar/guava-32.1.2-jre.jar                                           |                                                         | 
    /META-INF/jarjar/jsr305-3.0.2.jar                                               |                                                         | 
    /META-INF/jarjar/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar |                                                         | 
entityculling-forge-1.7.2-mc1.20.1.jar                                              | entityculling                                           | entityculling.mixins.json, entityculling.refmap.mixins.json
entityjs-0.6.4-1.20.1.jar                                                           | entityjs                                                | entityjs.mixins.json
escalated-1.2.1-create.6.0.8-mc.1.20.1-forge.jar                                    | escalated                                               | escalated-common.mixins.json, escalated.mixins.json
Essential_1-3-10-6_forge_1-20-1.jar                                                 | essential-container                                     | 
estrogen-5.0.8+1.20.1-forge.jar                                                     | estrogen                                                | estrogen.mixins.json, estrogen-forge.mixins.json
    /META-INF/jars/baubly-forge-1.20.1-1.0.1.jar                                    | baubly                                                  | baubly.mixins.json
    /META-INF/jars/flywheel-forge-1.20.1-1.0.2.jar                                  | flywheel                                                | flywheel.impl.mixins.json, flywheel.backend.mixins.json
    /META-INF/jars/botarium-forge-1.20.1-2.3.4.jar                                  | botarium                                                | 
    /META-INF/jars/resourceful-cosmetics-4j-1.0.5.jar                               |                                                         | 
    /META-INF/jars/kittyconfig-mc-1.2.16-forge-1.20.1.jar                           | kittyconfig                                             | 
        /META-INF/jars/kittynetworking-0.1.29-1.20.1-forge.jar                      | kittynetworking                                         | kittynetworking.mixins.json
        /META-INF/jars/json5k-jvm-0.3.0.jar                                         |                                                         | 
        /META-INF/jars/tomlkt-jvm-0.4.0.jar                                         |                                                         | 
etched-3.0.4.jar                                                                    | etched                                                  | etched.mixins.json
expandingtechnologies-1.20.1-1.3.4.jar                                              | expandingtechnologies                                   | expandingtechnologies.mixins.json
exposure-1.20.1-1.7.7-forge.jar                                                     | exposure                                                | exposure.mixins.json, exposure-common.mixins.json
ExtendedAE-1.20-1.4.18-forge.jar                                                    | expatternprovider                                       | mixins.epp.refmap.json, mixins.epp.json
ExtremeReactors2-1.20.1-2.0.97.jar                                                  | bigreactors                                             | 
ExtremeReactors2-CreateCompat-1.20.1-1.0.4.jar                                      | er2create                                               | 
fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar                                       | fallingtrees                                            | fallingtrees.mixins.json, fallingtrees-common.mixins.json
fancymenu_forge_3.9.3_MC_1.20.1.jar                                                 | fancymenu                                               | fancymenu.mixins.json, fancymenu.forge.mixins.json
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar             |                                                         | 
    /META-INF/jarjar/japng-0.5.3.jar                                                |                                                         | 
FarmersDelight-1.20.1-1.2.6.jar                                                     | farmersdelight                                          | farmersdelight.mixins.json
ferritecore-6.0.1-forge.jar                                                         | ferritecore                                             | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
Fibers Gunspack Forge v1.3 (1.18.2-1.20.1).jar                                      | fibers                                                  | 
fluidlogistics-1.2.0.jar                                                            | fluidlogistics                                          | fluidlogistics.mixins.json
forgivingvoid-forge-1.20-10.0.1.jar                                                 | forgivingvoid                                           | forgivingvoid.mixins.json
FramedBlocks-9.4.3.jar                                                              | framedblocks                                            | framedblocks.mixin.json
    /META-INF/jarjar/caffeine-3.2.1.jar                                             |                                                         | 
framework-forge-1.20.1-0.7.12.jar                                                   | framework                                               | 
ftb-essentials-forge-2001.2.4.jar                                                   | ftbessentials                                           | ftbessentials-common.mixins.json
ftb-library-forge-2001.2.10.jar                                                     | ftblibrary                                              | ftblibrary-common.mixins.json
ftb-quests-forge-2001.4.14.jar                                                      | ftbquests                                               | 
ftb-ranks-forge-2001.1.7.jar                                                        | ftbranks                                                | ftbranks-common.mixins.json
ftb-teams-forge-2001.3.1.jar                                                        | ftbteams                                                | 
ftb-xmod-compat-forge-2.1.3.jar                                                     | ftbxmodcompat                                           | 
fusion-1.2.12-forge-mc1.20.1.jar                                                    | fusion                                                  | fusion.mixins.json, fusion.mixins.refmap.json
fzzy_config-0.7.3+1.20.1+forge.jar                                                  | fzzy_config                                             | 
    /META-INF/jars/jankson-1.2.3.jar                                                |                                                         | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                             |                                                         | 
geckolib-forge-1.20.1-4.4.9.jar                                                     | geckolib                                                | geckolib.mixins.json
    /META-INF/jarjar/mclib-20.jar                                                   |                                                         | 
gjeb-forge-1.20.1-1.3.0.39.jar                                                      | gjeb                                                    | gjeb.mixins.json, gjeb.mixins.refmap.json
